country,year,lat,lon,geolev1,geolev2
ethiopia,2011,6.61699649052,37.4846255397,ETH.10,ETH.10.10
ethiopia,2011,6.63095001102,36.7852027008,ETH.10,ETH.10.10
ethiopia,2011,6.65580676267,38.3245737951,ETH.10,ETH.10.19
ethiopia,2011,6.70685847437,37.409545286,ETH.10,ETH.10.21
ethiopia,2011,6.78301858962,37.5509812536,ETH.10,ETH.10.21
ethiopia,2011,6.80310210938,38.5126355838,ETH.10,ETH.10.19
ethiopia,2011,6.80492958256,35.8646146207,ETH.10,ETH.10.5
ethiopia,2011,6.8069212678,35.801596385,ETH.10,ETH.10.5
ethiopia,2011,6.88872100597,37.9522518332,ETH.10,ETH.10.21
ethiopia,2011,6.90210116638,37.7348762189,ETH.10,ETH.10.21
ethiopia,2011,6.91156800008,38.4817078008,ETH.10,ETH.10.19
ethiopia,2011,6.91411343602,35.6303215499,ETH.10,ETH.10.5
ethiopia,2011,6.92495009304,38.3559681101,ETH.10,ETH.10.19
ethiopia,2011,6.93084850884,38.595896045,ETH.10,ETH.10.19
ethiopia,2011,6.94302150261,37.2950167052,ETH.10,ETH.10.7
ethiopia,2011,6.94902910992,35.772021814,ETH.10,ETH.10.5
ethiopia,2011,6.94992604668,37.8864940524,ETH.10,ETH.10.21
ethiopia,2011,6.98359796157,40.3522763184,ETH.8,ETH.8.2
ethiopia,2011,6.98589410147,36.4255203181,ETH.10,ETH.10.14
ethiopia,2011,7.00349013971,39.1624463866,ETH.8,ETH.8.10
ethiopia,2011,7.03607701317,37.3092790736,ETH.10,ETH.10.7
ethiopia,2011,7.0587043433,37.1757686301,ETH.10,ETH.10.7
ethiopia,2011,7.09517484082,36.6553017363,ETH.10,ETH.10.17
ethiopia,2011,7.09924325001,37.128257018,ETH.10,ETH.10.7
ethiopia,2011,7.11090917192,36.4669773812,ETH.10,ETH.10.14
ethiopia,2011,7.14547506346,35.4611988078,ETH.10,ETH.10.5
ethiopia,2011,7.14637860111,36.8971397399,ETH.10,ETH.10.7
ethiopia,2011,7.15974968202,36.836041539,ETH.10,ETH.10.17
