country,year1,year2,index1,index2,households
malawi,2010,2016,663,817,13.0
malawi,2010,2016,664,818,13.0
malawi,2010,2016,665,819,12.0
malawi,2010,2016,666,820,11.0
malawi,2010,2016,667,821,14.0
malawi,2010,2016,668,822,12.0
malawi,2010,2016,669,823,12.0
malawi,2010,2016,670,824,15.0
malawi,2010,2016,671,825,16.0
malawi,2010,2016,672,826,15.0
malawi,2010,2016,673,827,13.0
malawi,2010,2016,674,828,14.0
malawi,2010,2016,675,829,16.0
malawi,2010,2016,676,830,15.0
malawi,2010,2016,677,831,14.0
malawi,2010,2016,678,832,16.0
malawi,2010,2016,679,833,15.0
malawi,2010,2016,680,834,15.0
malawi,2010,2016,681,835,15.0
malawi,2010,2016,682,836,15.0
malawi,2010,2016,683,837,16.0
malawi,2010,2016,684,838,15.0
malawi,2010,2016,685,839,14.0
malawi,2010,2016,686,840,12.0
malawi,2010,2016,687,841,13.0
malawi,2010,2016,688,842,14.0
malawi,2010,2016,689,843,15.0
malawi,2010,2016,690,844,15.0
malawi,2010,2016,691,845,15.0
malawi,2010,2016,692,846,16.0
malawi,2010,2016,693,847,12.0
malawi,2010,2016,694,848,8.0
malawi,2010,2016,695,849,12.0
malawi,2010,2016,696,850,12.0
malawi,2010,2016,697,851,15.0
malawi,2010,2016,698,852,15.0
malawi,2010,2016,699,853,13.0
malawi,2010,2016,700,854,15.0
malawi,2010,2016,701,855,12.0
malawi,2010,2016,702,856,11.0
malawi,2010,2016,703,857,14.0
malawi,2010,2016,704,858,15.0
malawi,2010,2016,705,859,14.0
malawi,2010,2016,706,860,15.0
malawi,2010,2016,707,861,16.0
malawi,2010,2016,708,760,14.0
malawi,2010,2016,709,761,13.0
malawi,2010,2016,710,762,16.0
malawi,2010,2016,711,763,15.0
malawi,2010,2016,712,764,15.0
malawi,2010,2016,713,765,14.0
malawi,2010,2016,714,766,13.0
malawi,2010,2016,715,767,14.0
malawi,2010,2016,716,768,12.0
malawi,2010,2016,717,769,10.0
malawi,2010,2016,718,770,13.0
malawi,2010,2016,719,771,12.0
malawi,2010,2016,720,772,13.0
malawi,2010,2016,721,773,11.0
malawi,2010,2016,722,774,15.0
malawi,2010,2016,723,775,11.0
malawi,2010,2016,724,776,14.0
malawi,2010,2016,725,777,15.0
malawi,2010,2016,726,778,14.0
malawi,2010,2016,727,779,14.0
malawi,2010,2016,728,780,8.0
malawi,2010,2016,729,781,9.0
malawi,2010,2016,730,782,14.0
malawi,2010,2016,731,783,13.0
malawi,2010,2016,732,784,16.0
malawi,2010,2016,733,785,15.0
malawi,2010,2016,734,786,14.0
malawi,2010,2016,735,787,16.0
malawi,2010,2016,736,788,13.0
malawi,2010,2016,737,789,15.0
malawi,2010,2016,738,790,16.0
malawi,2010,2016,739,791,16.0
malawi,2010,2016,740,792,15.0
malawi,2010,2016,741,793,16.0
malawi,2010,2016,742,794,11.0
