country,year,lat,lon,index,et_index,n,geolev1,geolev2,rooms,electric,phone,radio,tv,auto,floor_qual,toilet_qual,watsup_qual,ea_id
uganda,2013,0.615904986858368,33.4700546264648,0.905859353959047,,5,UGA.10,UGA.10.3,2.2,0.6,0.8,0.8,0.6,0.0,4.0,4.0,4.6,2030001
uganda,2013,0.623696982860565,33.4741477966309,0.761712743880609,,8,UGA.10,UGA.10.3,3.5,0.375,0.625,0.875,0.375,0.25,3.25,4.0,4.5,2030004
uganda,2013,0.62576299905777,33.2887725830078,-0.196537298391595,,9,UGA.11,UGA.11.1,3.55555555555556,0.0,0.777777777777778,0.777777777777778,0.0,0.0,1.0,3.33333333333333,3.33333333333333,2040012
uganda,2013,0.626914024353027,30.2771186828613,-0.0696440743575945,,7,UGA.13,UGA.13.3,3.0,0.0,0.571428571428571,0.714285714285714,0.0,0.0,2.28571428571429,4.0,3.0,4050005
uganda,2013,0.630704998970032,31.7877235412598,-0.0829428564674956,,10,UGA.43,UGA.43.3,2.0,0.0,0.8,0.8,0.0,0.0,1.9,4.0,2.8,1070016
uganda,2013,0.640798985958099,30.3012828826904,0.832945118836684,,6,UGA.13,UGA.13.3,3.83333333333333,0.5,1.0,0.833333333333333,0.333333333333333,0.166666666666667,2.66666666666667,3.83333333333333,5.0,4050002
uganda,2013,0.662384986877441,32.7091407775879,-0.214059061481077,,8,UGA.34,UGA.34.1,1.875,0.0,0.625,0.625,0.125,0.0,1.75,3.75,3.0,1040006
uganda,2013,0.674983024597168,33.5198974609375,0.0741790719787738,,6,UGA.10,UGA.10.3,2.16666666666667,0.0,0.833333333333333,1.0,0.166666666666667,0.0,2.0,3.66666666666667,3.16666666666667,2030023
uganda,2013,0.696134984493256,34.0029640197754,-0.420623530527707,,8,UGA.56,UGA.56.2,2.375,0.0,0.375,0.125,0.125,0.0,1.75,3.875,3.0,2120011
uganda,2013,0.696241974830627,34.1093864440918,-0.437400240935283,,8,UGA.56,UGA.56.2,2.0,0.0,0.375,0.25,0.0,0.0,2.5,3.25,3.125,2120013
uganda,2013,0.71111798286438,34.1736373901367,-0.0452200235857868,,5,UGA.56,UGA.56.3,2.0,0.2,0.8,0.8,0.0,0.0,2.2,3.0,4.2,2120003
uganda,2013,0.711597979068756,33.6848335266113,-0.310545063081057,,6,UGA.4,UGA.4.1,2.33333333333333,0.0,0.833333333333333,0.666666666666667,0.0,0.0,1.5,2.66666666666667,3.0,2010008
uganda,2013,0.71214497089386,32.5294303894043,0.697056104271448,,5,UGA.34,UGA.34.2,2.0,0.2,1.0,1.0,0.4,0.0,4.0,3.8,2.8,1040002
uganda,2013,0.72658097743988,32.9185066223145,0.564252564836363,,9,UGA.23,UGA.23.2,2.66666666666667,0.222222222222222,0.777777777777778,0.888888888888889,0.333333333333333,0.111111111111111,3.33333333333333,3.88888888888889,3.11111111111111,1120001
uganda,2013,0.728757977485657,30.6465892791748,-0.159079886997084,,8,UGA.30,UGA.30.2,2.375,0.0,0.875,0.75,0.0,0.0,1.0,4.0,3.75,4150007
uganda,2013,0.732909977436066,32.9587593078613,0.0116059157074294,,5,UGA.23,UGA.23.2,1.8,0.0,0.8,0.8,0.0,0.0,2.8,3.8,2.2,1120006
uganda,2013,0.819428980350494,34.0940742492676,-0.178458240533887,,8,UGA.56,UGA.56.2,2.25,0.0,0.625,0.375,0.0,0.0,2.5,3.875,3.125,2120008
uganda,2013,0.822012007236481,30.7921314239502,-0.0585856492719918,,8,UGA.30,UGA.30.2,3.25,0.0,0.625,0.875,0.0,0.0,1.75,4.0,3.375,4150009
