"lat","lon","year.x","country","year.y","index","index_diff","geolev1","geolev2","x"
-5.83770990371704,39.2200012207031,2008,"tanzania",2012,-0.585798916795607,0.0587125575902651,"TZA.28","TZA",1
-5.83981990814209,39.2868385314941,2008,"tanzania",2012,-0.258601592042148,0.10682396273391,"TZA.28","TZA",3
-5.84790992736816,39.2957496643066,2008,"tanzania",2012,0.111547562123588,0.227014873143952,"TZA.28","TZA",1
-5.87982988357544,39.2422981262207,2008,"tanzania",2012,0.375541358127912,0.52463317222362,"TZA.28","TZA",5
-5.93603992462158,39.2220916748047,2008,"tanzania",2012,-0.0547985756002556,0.209155164004994,"TZA.28","TZA",3
-5.93941020965576,39.241771697998,2008,"tanzania",2012,0.244776882515587,0.213040234544596,"TZA.28","TZA",5
-5.94671010971069,39.2388610839844,2008,"tanzania",2012,0.292258525784836,0.00341326414355346,"TZA.28","TZA",4
-5.94781017303467,35.9174613952637,2008,"tanzania",2012,-0.233664677807279,-0.4913818054478,"TZA.3","TZA",1
-5.9523401260376,34.062068939209,2008,"tanzania",2012,-0.141701243116588,-0.13984863237353,"TZA.25","TZA",3
-5.95327997207642,35.2443809509277,2008,"tanzania",2012,-0.024113951316198,-0.0111990752453539,"TZA.3","TZA",3
-5.95639991760254,37.661678314209,2008,"tanzania",2012,0.224521086323957,0.154722488258627,"TZA.14","TZA",6
-5.97051000595093,39.299690246582,2008,"tanzania",2012,-0.0888785535968582,0.234587818674935,"TZA.28","TZA",6
-5.97757005691528,39.2445983886719,2008,"tanzania",2012,0.193700864072344,0.428547294738744,"TZA.28","TZA",4
-5.99373006820679,35.851978302002,2008,"tanzania",2012,-0.027640121687634,-0.0264583887086955,"TZA.3","TZA",3
-6.03919982910156,39.3067283630371,2008,"tanzania",2012,-0.146443257616715,0.378828550337862,"TZA.29","TZA",2
-6.05552005767822,39.2177314758301,2008,"tanzania",2012,-0.296152362539852,-0.170246428957093,"TZA.30","TZA",4
-6.09606981277466,39.2952003479004,2008,"tanzania",2012,-0.0541275277846958,0.613214530437428,"TZA.29","TZA",5
-6.09679985046387,39.2353591918945,2008,"tanzania",2012,-0.79610200127603,-1.52470821789656,"TZA.30","TZA",1
-6.14549016952515,39.2145385742188,2008,"tanzania",2012,-0.271627265412964,0.235937049027775,"TZA.30","TZA",7
-6.15413999557495,39.2179412841797,2008,"tanzania",2012,-0.667739423725613,-0.172110715662521,"TZA.30","TZA",1
-6.15898990631104,39.2043685913086,2008,"tanzania",2012,-0.276129345960759,-0.154328039750183,"TZA.30","TZA",2
-6.16067981719971,39.1952285766602,2008,"tanzania",2012,-0.683784645751212,-1.38619772755141,"TZA.30","TZA",1
-6.16132020950317,39.1980018615723,2008,"tanzania",2012,-1.01760429565003,-2.09272875159633,"TZA.30","TZA",1
-6.16311979293823,39.25048828125,2008,"tanzania",2012,-0.40593071578862,0.227326538395739,"TZA.30","TZA",3
-6.16419982910156,39.2123908996582,2008,"tanzania",2012,-0.629001630968026,-0.420527118332335,"TZA.30","TZA",2
-6.16629981994629,39.2152481079102,2008,"tanzania",2012,0.0571721025277798,0.901866298229914,"TZA.30","TZA",5
-6.1671199798584,39.4373207092285,2008,"tanzania",2012,-0.284792716691266,0.131731939006306,"TZA.29","TZA",5
-6.16794013977051,39.21337890625,2008,"tanzania",2012,-0.280424025139774,0.136628974129364,"TZA.30","TZA",3
-6.17187023162842,39.2234992980957,2008,"tanzania",2012,-0.481654708787967,-0.0133887663091321,"TZA.30","TZA",5
-6.17374992370605,39.2011489868164,2008,"tanzania",2012,-0.362519621164048,-0.853610940789171,"TZA.30","TZA",2
-6.17621994018555,39.2321281433105,2008,"tanzania",2012,-0.351161671524758,0.0271451365465944,"TZA.30","TZA",4
-6.17724990844727,36.4757499694824,2008,"tanzania",2012,0.122970303089038,0.205366598817385,"TZA.3","TZA",4
-6.18397998809814,37.7106781005859,2008,"tanzania",2012,-0.0382537692478299,-0.196847153891963,"TZA.14","TZA",2
-6.18554019927979,39.2166404724121,2008,"tanzania",2012,0.0960163258991055,0.92501549667886,"TZA.30","TZA",2
-6.19687986373901,39.2202682495117,2008,"tanzania",2012,-0.35085514398766,0.409238742421028,"TZA.30","TZA",1
-6.20193004608154,39.2095184326172,2008,"tanzania",2012,-0.0765434652560266,0.28649794551952,"TZA.30","TZA",3
-6.20928001403809,39.2099914550781,2008,"tanzania",2012,-0.316124844909669,0.120328860870392,"TZA.30","TZA",4
-6.21077013015747,39.213680267334,2008,"tanzania",2012,-0.467992625315766,-0.287977451817939,"TZA.30","TZA",1
-6.2296199798584,36.413330078125,2008,"tanzania",2012,-0.221246549167639,-0.174968390825972,"TZA.3","TZA",3
-6.29604005813599,39.2918014526367,2008,"tanzania",2012,-0.170009520786641,0.609755497794666,"TZA.30","TZA",4
-6.33328008651733,31.0775394439697,2008,"tanzania",2012,-0.541639502955235,-0.870567077026629,"TZA.7","TZA",2
-6.34827995300293,31.0697402954102,2008,"tanzania",2012,-0.615789589798732,-0.705540511629045,"TZA.7","TZA",4
-6.34858989715576,33.8466987609863,2008,"tanzania",2012,0.0387377927575865,-0.319809704676791,"TZA.26","TZA",2
-6.35251998901367,31.290210723877,2008,"tanzania",2012,-0.0538004523244247,-0.232659553069842,"TZA.7","TZA",3
