country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guatemala,,,,,,35695,,37409,,,,,,68510,,,,,,,,54603,,,,
Guyana,,,,,,46380,,,,,,,,,,,,,,,,,,,,
Iran,,20000,,,,38275,,,,,,,26895,30910,,,36868,,,,38316,38275,,,,
Iraq,,,,,,,,,,,,,,17531,,,,,,24944,,,,,,
Jamaica,9815,,,9115,,,9335,,,34880,,9905,,,,,,,,,,,,,,
Jordan,,,,,30000,,,,,63960,,,,11639,,10956,,11223,,,,,,,,
Kazakhstan,175584,,,10000,,,,,175584,169038,166152,164406,46939,40764,40302,40181,165995,170437,46906,47177,170513,165047,164763,,,
Lebanon,,,,,,,,,,,,,,,,,,,3019,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,,,,,,19025,,4027,,16351,17025,4091,18538,19025,,15848,19025,19025,19025,19025,19025,19025,,,,
Malaysia,,,195695,,,,,,,,,70420,,,188800,188800,,,188800,,188800,,188800,,,
Maldives,,,,,,,,,,5665,,,,,,,11588,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,59279,,63631,,46837,,41759,,70941,,90056,92524,82246,,116514,,104557,,32536,,72260,,253606,,
Montenegro,,,,,,,,,,,,,5242,4552,3630,3984,3766,3913,3966,4140,3688,4135,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,21600,,20466,,23959,,37063,17457,42827,34413,19365,22578,20931,19309,18296,20313,19657,21037,21090,20147,30737,37607,,
Peru,,18115,,,30745,32572,16504,16382,72137,81487,55080,84382,84355,86718,91078,87804,88365,86495,98186,97443,116321,115525,118374,129918,,
Romania,,13000,,,,160000,31547,31088,31844,32073,32051,33201,85294,40155,39025,38725,38590,38375,37990,37800,37550,37075,37030,60107,,
Russian Federation,582191,,,582191,541138,522937,525050,528274,582191,523332,582191,577019,206146,212348,212330,205175,205189,205285,205321,205280,206475,206448,503743,,,
Samoa,,,,,,,,,,,,,,,,2012,,,,,,,,,,
Serbia,,,,,,,,,,31930,11630,13268,13345,14437,14199,14134,13800,13547,,32505,30275,28400,27770,,,
Saint Lucia,,,11620,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,2050,,,,,,,,,,,,,,,,,,,
Thailand,,155715,,44969,,44969,44969,24747,,34785,,34843,,44918,43055,44969,43844,44273,42083,43762,42738,44342,43400,,,
Tonga,,,,,,,,,1619,,,,,,,,1983,,,,,,,,,
Turkey,,131280,,,,,,,,40675,25764,35388,35495,34939,34611,33285,38453,38198,37121,36343,36809,36842,40950,42606,,
Turkmenistan,,,,,,11750,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,541,,,,,,,,
Venezuela,,,93510,,,83750,376495,,213655,265620,231435,189190,189215,192460,,,,,,,,,,,,
