country,eighties,nineties,aughts,tens,twenties
Kyrgyzstan,,,2002,,2018
Lao PDR,,,1999,2011,2020
Latvia,,,2001,2010,2020
Lebanon,1980,,1999,2010,
Lesotho,1980,1990,2000,2010,2020
Liberia,,,,,
Libya,,1987,2001,,
Lithuania,,,2003,2010,2020
Luxembourg,1980,1990,2000,2010,2020
Madagascar,1985,,2004,,2019
Malawi,1981,1993,,2007,2020
Malaysia,,,2005,,2023
Maldives,,,,,2023
Mali,1984,,2005,,2017
Malta,1979,,2001,2010,2020
Marshall Islands,,,,,
Martinique,1981,1989,2000,2010,
Mauritania,1985,,,,2019
Mauritius,,,,2014,2021
Mexico,1980,1991,,2007,2018
Micronesia,,,,,2017
Moldova,,,,2011,2022
Monaco,,,,,
Mongolia,,,2000,2011,2022
Montenegro,,,,2010,
Morocco,,,1996,,2016
Mozambique,,,2000,2010,2020
Myanmar,,1993,2003,2010,2020
Namibia,,1995,1997,2014,2024
Nauru,,,,,
Nepal,1982,1992,2002,2012,2022
Netherlands,1979,1989,2000,2010,2020
New Caledonia,1984,1992,2002,,
New Zealand,1980,1994,2002,2012,
Nicaragua,1982,1990,2001,2011,2018
Niger,1980,,,2008,2020
Nigeria,1985,,,,2018
Niue,,1989,,2009,2019
Northern Mariana Islands,1980,1990,2002,2007,2019
Norway,1979,1989,1999,2010,2020
Palestinian Territory,,,,2010,2020
Oman,1979,,,2013,
Pakistan,1980,1990,2000,2010,2019
Palau,,1989,,2015,2020
Panama,1981,1990,2001,2011,2021
Papua New Guinea,,,,,
Paraguay,1981,1991,,2008,2018
Peru,,1994,,2012,2022
Philippines,1981,1991,2002,2012,2023
Poland,1981,1990,2002,2010,2020
Portugal,1979,1989,1999,2009,2019
Puerto Rico,1982,1992,2002,2012,
Qatar,,,2001,,
Réunion,1981,1989,2000,2010,
Romania,,,2002,2010,2020
Russian Federation,,,,2006,2016
Rwanda,1984,,,2008,2024
Saint Kitts and Nevis,,1987,2000,,
Saint Lucia,,1986,1996,2007,2022
Saint Vincent and Grenadines,,1986,2000,,2019
Samoa,1980,1989,1999,2009,2019
San Marino,,,,,
Sao Tome and Principe,,1990,,,2018
Saudi Arabia,1983,,1999,2015,
Senegal,,,1999,2013,2017
Serbia,,,2002,2012,2021
Seychelles,,,1998,2011,2021
Sierra Leone,1985,,,,
Singapore,,,,,
Slovakia,1980,1990,2001,2010,2020
Slovenia,,1991,2000,2010,2020
Solomon Islands,,,,,2017
Somalia,,,,,
South Africa,,1993,2000,2007,
South Sudan,,,,,2020
Spain,1982,1989,1999,2010,2020
Sri Lanka,1982,,2002,2014,2023
Sudan,1980,,,,2019
Suriname,1981,,,2008,2020
Sweden,1982,1990,2000,2010,2020
Switzerland,1980,1990,2000,2010,2020
Syrian Arab Republic,1981,,,,
Tajikistan,,,,2013,
Tanzania,,1995,2003,2007,2019
Macedonia,,,,2007,
Thailand,1978,1993,2003,2013,2023
Gambia,,,2002,2011,2022
Swaziland,,1993,2003,2013,2023
Timor-Leste,,,,,2018
Togo,1983,,1996,2014,2022
Tonga,1985,,2001,2014,2025
Trinidad and Tobago,1982,,2004,,
Tunisia,,1995,2004,,2020
Turkey,1980,1991,2001,,2020
Turkmenistan,,,,,
Tuvalu,,,,,
Uganda,,1991,2002,2009,2020
Ukraine,,,,,
United Arab Emirates,,,,2012,
United Kingdom,1979,1993,2000,2010,2020
United States,1982,1992,2002,2012,2017
Uruguay,1980,1990,2000,2011,2021
Uzbekistan,,,,,
Vanuatu,,1993,,2007,2020
Venezuela,,,1997,2008,
Viet Nam,,1994,2001,2007,2016
Virgin Islands,1982,1992,2002,2007,
Yemen,1983,,2002,,
Zambia,,1990,2000,2010,2018
Zimbabwe,,,,,2023
