"geolev","index","n.x","dhs","n.y","predictions","n","country"
"454201006",-0.415304251057227,850,-0.6071917,1,-0.60182977,1,"Malawi"
"454201007",-0.337142841139385,848,-0.32221058,3,-0.231618583333333,3,"Malawi"
"454201008",0.656485457231279,827,-0.094366035,2,0.44245313,2,"Malawi"
"454201009",-0.375514681358805,795,-0.46215875,2,-0.490814,2,"Malawi"
"454201010",-0.43304217746934,787,-0.50940243,2,-0.66099293,2,"Malawi"
"454201011",-0.474118981501606,736,-0.66063402,2,-0.59539775,2,"Malawi"
"454201012",-0.492153963889921,578,-0.6142768,1,-0.6433401,1,"Malawi"
"454201013",-0.534028432412823,604,-0.6273598,1,-0.6645198,1,"Malawi"
"454202001",-0.131056653838085,2170,-0.316083910111111,9,-0.447329994444444,9,"Malawi"
"454202002",-0.631344212876221,1395,-0.704520582857143,7,-0.604052625714286,7,"Malawi"
"454202003",-0.536518853684523,1077,-0.67014407,5,-0.581046774,5,"Malawi"
"454202004",-0.489463866140788,496,-0.7005805,3,-0.649323546666667,3,"Malawi"
"454202005",0.231000341916073,480,0.0878596,4,0.4898121975,4,"Malawi"
"454202006",-0.475180439808601,492,-0.5819595,2,-0.637031795,2,"Malawi"
"454203001",-0.390872199357939,2022,-0.659181864444444,9,-0.543751193333333,9,"Malawi"
"454203002",-0.449660253640859,1250,-0.67349005375,8,-0.6282627275,8,"Malawi"
"454203003",-0.472883590582809,795,-0.356652648571429,7,-0.68936073,7,"Malawi"
"454203004",-0.544687923635366,540,-0.6591194625,4,-0.665371205,4,"Malawi"
"454204001",-0.444652796355495,2558,-0.58678494,6,-0.545841946666667,6,"Malawi"
"454204002",-0.519958053385915,1759,-0.68291819,4,-0.5514003725,4,"Malawi"
"454204003",-0.524381349125455,1835,-0.727446166,5,-0.584001134,5,"Malawi"
"454204004",-0.442914645329031,1810,-0.664722346666667,3,-0.459580472,3,"Malawi"
"454204005",-0.526532859962372,1596,-0.38738593,3,-0.264306003333333,3,"Malawi"
"454204006",-0.570469506515232,1394,-0.6674837775,4,-0.504214075,4,"Malawi"
"454204007",-0.230121387827011,1086,-0.61873618,4,0.0622513125,4,"Malawi"
"454205001",-0.61047560205779,1880,-0.73432655,8,-0.53268695875,8,"Malawi"
"454205002",-0.517100628867046,1225,-0.422310098,5,-0.307945504,5,"Malawi"
"454205003",-0.588621227670733,1256,-0.7380514,3,-0.56717269,3,"Malawi"
"454205004",-0.179647657848396,1023,-0.25167925,4,0.1893919525,4,"Malawi"
"454205005",0.477096392019213,616,0.85336895,2,0.73962907,2,"Malawi"
"454205006",-0.616126138506956,596,-0.717589986666667,3,-0.627751933333333,3,"Malawi"
"454205007",-0.646795148510169,461,-0.8899667,1,-0.7008761,1,"Malawi"
"454205008",-0.646660957127327,467,-0.76080926,3,-0.591811633333333,3,"Malawi"
"454206001",0.908763861358051,14937,0.423297871130435,23,0.946712689565217,23,"Malawi"
"454206002",-0.528969692650224,5099,-0.701476058,5,-0.581473104,5,"Malawi"
"454206003",-0.485116897017015,3103,-0.62091207,2,-0.43083452,2,"Malawi"
"454206004",-0.505154284667995,2371,-0.575033725,2,-0.58898115,2,"Malawi"
"454206005",-0.490398446379277,2458,-0.373100866666667,3,-0.320266746666667,3,"Malawi"
"454206006",-0.539295185736437,2051,-0.7236694,1,-0.6764795,1,"Malawi"
"454206007",-0.535104838832515,2295,-0.74545693,1,-0.6462674,1,"Malawi"
"454206008",-0.474890951565383,1978,-0.7066253,1,-0.47591043,1,"Malawi"
"454206009",-0.520390394084508,2042,-0.75098425,2,-0.38429075,2,"Malawi"
"454206010",-0.544584311660237,1319,-0.8454181,1,-0.6790889,1,"Malawi"
"454206011",-0.499090524920107,993,-0.609399,1,0.31044054,1,"Malawi"
"454206012",-0.631621086135288,878,-0.80637065,2,-0.681169625,2,"Malawi"
"454206013",-0.28808433500315,708,-0.6510426,1,0.30194223,1,"Malawi"
"454206014",-0.345530835112544,691,NA,NA,NA,NA,"Malawi"
"454206015",-0.563939920851607,616,-0.5676627,1,-0.6199726,1,"Malawi"
"454206016",-0.380932752457151,510,-0.72257125,1,0.6200148,1,"Malawi"
"454207001",-0.266672852365626,2328,-0.35677050125,8,-0.1692061425,8,"Malawi"
"454207002",-0.531827948327015,1916,-0.631306496666667,6,-0.503595426666667,6,"Malawi"
"454207003",-0.517371335360955,1834,-0.654586325,6,-0.569172666666667,6,"Malawi"
"454207004",-0.518331634357342,1628,-0.666865706666667,6,-0.59106753,6,"Malawi"
"454207005",-0.42921172714387,1065,-0.706462133333333,3,-0.46288737,3,"Malawi"
"454207006",-0.536031696161764,794,-0.7498709,1,-0.48360717,1,"Malawi"
"454208001",-0.538755412812806,3118,-0.7553043,5,-0.425934102,5,"Malawi"
"454208002",-0.550164618347907,3034,-0.74399194375,8,-0.5438834675,8,"Malawi"
"454208003",-0.566391179398051,2015,-0.813150676666667,3,-0.547300303333333,3,"Malawi"
"454208004",-0.568657549014792,1651,-0.774428486666667,3,-0.459783716666667,3,"Malawi"
